0.00000000,0.26179939,0.00000000
0.00100000,0.26177331,-0.05190382
0.00200000,0.26169608,-0.10230985
0.00300000,0.26156918,-0.15125103
0.00400000,0.26139405,-0.19875964
0.00500000,0.26117213,-0.24486731
0.00600000,0.26090478,-0.28960506
0.00700000,0.26059336,-0.33300326
0.00800000,0.26023921,-0.37509171
0.00900000,0.25984361,-0.41589960
0.01000000,0.25940783,-0.45545553
0.01100000,0.25893310,-0.49378754
0.01200000,0.25842065,-0.53092312
0.01300000,0.25787165,-0.56688918
0.01400000,0.25728725,-0.60171211
0.01500000,0.25666859,-0.63541776
0.01600000,0.25601678,-0.66803148
0.01700000,0.25533289,-0.69957809
0.01800000,0.25461797,-0.73008192
0.01900000,0.25387306,-0.75956681
0.02000000,0.25309917,-0.78805611
0.02100000,0.25229727,-0.81557270
0.02200000,0.25146834,-0.84213901
0.02300000,0.25061331,-0.86777700
0.02400000,0.24973309,-0.89250819
0.02500000,0.24882859,-0.91635368
0.02600000,0.24790067,-0.93933411
0.02700000,0.24695020,-0.96146971
0.02800000,0.24597801,-0.98278032
0.02900000,0.24498491,-1.00328535
0.03000000,0.24397170,-1.02300382
0.03100000,0.24293915,-1.04195437
0.03200000,0.24188804,-1.06015524
0.03300000,0.24081909,-1.07762431
0.03400000,0.23973303,-1.09437909
0.03500000,0.23863056,-1.11043673
0.03600000,0.23751238,-1.12581402
0.03700000,0.23637916,-1.14052741
0.03800000,0.23523154,-1.15459302
0.03900000,0.23407018,-1.16802661
0.04000000,0.23289569,-1.18084365
0.04100000,0.23170869,-1.19305924
0.04200000,0.23050977,-1.20468822
0.04300000,0.22929951,-1.21574509
0.04400000,0.22807847,-1.22624404
0.04500000,0.22684720,-1.23619900
0.04600000,0.22560625,-1.24562357
0.04700000,0.22435613,-1.25453108
0.04800000,0.22309735,-1.26293459
0.04900000,0.22183042,-1.27084688
0.05000000,0.22055582,-1.27828045
0.05100000,0.21927402,-1.28524756
0.05200000,0.21798547,-1.29176018
0.05300000,0.21669064,-1.29783005
0.05400000,0.21538996,-1.30346866
0.05500000,0.21408385,-1.30868725
0.05600000,0.21277272,-1.31349681
0.05700000,0.21145698,-1.31790813
0.05800000,0.21013703,-1.32193173
0.05900000,0.20881325,-1.32557794
0.06000000,0.20748600,-1.32885684
0.06100000,0.20615565,-1.33177831
